"Age","pop","nLx"
0,9544406,90182.0470405873
1,7471790,84302.651880681
2,11590109,81860.8378415738
3,11881844,80614.8448765538
4,11872503,79743.8473816631
5,12968350,79079.6546585643
6,11993151,78582.6041590122
7,10033918,78219.3048924645
8,14312222,77956.887528728
9,8111523,77762.4552837901
10,15311047,77602.8013653286
11,6861510,77453.1355645329
12,13305117,77299.8712875221
13,7454575,77133.6290374087
14,9015381,76948.4030249413
15,10325432,76742.4547577126
16,9055588,76517.6885448874
17,5519173,76277.0016023742
18,12546779,76022.7252299988
19,4784102,75756.2141516829
20,13365429,75477.5688450602
21,4630254,75186.1005050134
22,9595545,74881.4419889629
23,4727963,74564.1786758372
24,5195032,74236.0055407438
25,15061479,73899.8097937312
26,5467392,73559.032402614
27,4011539,73216.3190135412
28,8033850,72872.7571295558
29,1972327,72527.8027023509
30,17396266,72179.2668718398
31,1647397,71823.7559547989
32,6539557,71457.7301654698
33,2233521,71078.1589866646
34,2101024,70682.5911691286
35,16768198,70269.23412119
36,3211834,69836.904883697
37,1923169,69384.6755088205
38,4472854,68911.5925336624
39,1182245,68416.649935578
40,15874081,67898.7844484409
41,1017752,67356.8244203759
42,3673865,66789.3206958946
43,1247304,66194.3774472208
44,1029243,65569.5661350525
45,12619050,64911.841518077
46,1499847,64217.5789848903
47,1250321,63483.0661734259
48,2862148,62705.0593195891
49,723195,61881.0250902547
50,12396632,61009.3407720112
51,733501,60089.3371936511
52,2186678,59120.5681122431
53,777379,58101.890456984
54,810700,57031.123937392
55,7298270,55904.8699038306
56,1116032,54718.4688550454
57,650402,53466.8503612445
58,1465209,52145.7228422728
59,411834,50752.1233443939
60,9478824,49284.7524684447
61,429296,47744.2724580291
62,1190060,46133.2137118374
63,446290,44455.6545539175
64,362767,42717.153725275
65,4998209,40924.8047329731
66,388753,39087.1225341563
67,334629,37212.7526722755
68,593906,35308.5645082975
69,178133,33378.8750617071
70,4560342,31425.4815142269
71,179460,29447.9610248639
72,481230,27446.1005499984
73,159087,25423.8391283497
74,155831,23391.0324211399
75,1606147,21363.2416874395
76,166763,19361.006503336
77,93569,17407.1329458143
78,182238,15522.5416271561
79,53567,13724.2156745347
80,1715697,12025.174580402
81,127486,10434.7740120578
82,150782,8959.62457258236
83,52332,7604.8684945124
84,48664,6374.56147688404
85,456387,5271.26051772938
86,46978,4295.61545257452
87,34448,3446.01863380212
88,44015,2718.37957520049
89,19172,2106.18601823611
90,329149,1600.82920650767
91,48004,1192.05390788066
92,28574,868.525986790916
93,9200,618.454480561744
94,7003,430.06703911226
95,75195,292.120141483881
96,13140,193.805139870459
97,5889,125.412157418846
98,18915,79.1160770416159
99,21221,48.6360375035646
100,72373,71.6740396985774
